,ts_code,name
228,000700.SZ,模塑科技
229,000701.SZ,厦门信达
230,000702.SZ,正虹科技
231,000703.SZ,恒逸石化
232,000705.SZ,浙江震元
233,000707.SZ,双环科技
234,000708.SZ,中信特钢
235,000709.SZ,河钢股份
236,000710.SZ,贝瑞基因
238,000712.SZ,锦龙股份
239,000713.SZ,丰乐种业
240,000715.SZ,中兴商业
241,000716.SZ,黑芝麻
242,000717.SZ,中南股份
243,000718.SZ,苏宁环球
244,000719.SZ,中原传媒
245,000720.SZ,新能泰山
246,000721.SZ,西安饮食
247,000722.SZ,湖南发展
248,000723.SZ,美锦能源
249,000725.SZ,京东方A
250,000726.SZ,鲁泰A
251,000727.SZ,冠捷科技
252,000728.SZ,国元证券
253,000729.SZ,燕京啤酒
254,000731.SZ,四川美丰
255,000733.SZ,振华科技
256,000735.SZ,罗牛山
257,000736.SZ,中交地产
258,000737.SZ,北方铜业
259,000738.SZ,航发控制
260,000739.SZ,普洛药业
261,000750.SZ,国海证券
262,000751.SZ,锌业股份
264,000753.SZ,漳州发展
265,000755.SZ,山西路桥
266,000756.SZ,新华制药
267,000757.SZ,浩物股份
268,000758.SZ,中色股份
269,000759.SZ,中百集团
270,000761.SZ,本钢板材
271,000762.SZ,西藏矿业
272,000766.SZ,通化金马
273,000767.SZ,晋控电力
274,000768.SZ,中航西飞
275,000776.SZ,广发证券
276,000777.SZ,中核科技
277,000778.SZ,新兴铸管
278,000779.SZ,甘咨询
279,000782.SZ,美达股份
280,000783.SZ,长江证券
281,000785.SZ,居然之家
282,000786.SZ,北新建材
283,000788.SZ,北大医药
284,000789.SZ,万年青
285,000790.SZ,华神科技
286,000791.SZ,甘肃能源
287,000792.SZ,盐湖股份
288,000793.SZ,华闻集团
289,000795.SZ,英洛华
291,000797.SZ,中国武夷
292,000798.SZ,中水渔业
293,000799.SZ,酒鬼酒
294,000800.SZ,一汽解放
295,000801.SZ,四川九洲
296,000802.SZ,北京文化
297,000803.SZ,山高环能
298,000807.SZ,云铝股份
299,000809.SZ,铁岭新城
300,000810.SZ,创维数字
301,000811.SZ,冰轮环境
302,000812.SZ,陕西金叶
303,000813.SZ,德展健康
304,000815.SZ,美利云
305,000816.SZ,智慧农业
